feature_0,feature_1,cluster_truth,cluster_id
-9.255593121958404,7.240112180752142,3,2
-5.150326325106514,-8.37118951688742,2,1
4.182245586890486,2.1588582643594707,1,4
4.998223347304105,0.7766117553240455,1,4
-7.096944101349305,10.166116643509163,3,2
-6.422085257146489,-6.446361983927411,2,1
-2.173052660026521,8.786809868244914,0,3
-7.408808098110018,7.020430195806977,3,2
2.6980201768486953,1.9693655502699325,1,4
-9.793196838220087,5.782765107183341,3,2
0.7378852079090847,4.4739667221164705,4,0
-5.004401802667882,-6.775595557200125,2,1
-7.704639258537501,5.998689859796069,3,2
-2.6367467434302845,10.525441058445669,0,3
3.133353578188986,0.9688791204464788,1,4
6.977706581616401,1.1124128822389123,1,4
-7.472426424329917,-6.903503553519893,2,1
-7.474300178313439,-7.302678012297165,2,1
4.657926088696326,3.183844236482929,1,4
-6.7806127416640125,-7.4025243216534555,2,1
-1.8010889463641597,9.970988444992905,0,3
4.576984969328243,1.5252920390087736,1,4
-9.896478749106697,7.714392823300663,3,2
2.7394702094774654,3.5970911312368754,4,0
0.8869089109909443,1.5459825959170592,4,0
-1.9603137877353858,8.759330334644623,0,3
-1.8711465216119931,9.51513060314278,0,3
5.32516892093907,3.375179009859854,1,4
-7.988507391317104,8.961804098635126,3,2
-7.630053015983871,6.848199497816514,3,2
-8.741950633521974,7.871062735667756,3,2
-1.6395917029470901,10.369923987003272,0,3
-3.8977401768839615,7.414015023694612,0,3
-7.283330625149177,-6.0509605582164046,2,1
1.483773781295697,5.676627949364464,4,0
-5.885886928283313,-7.133196434290057,2,1
-9.41868275948874,9.270851402402986,3,2
3.961235774933998,1.6549321561981118,1,4
-0.8537320471822412,3.4329226796994243,4,0
4.086701590880831,1.7192179775434968,1,4
-8.526693457828586,7.968819873929746,3,2
-6.354457877889102,-9.268641055753633,2,1
-6.630017732941559,-9.320813608051031,2,1
-6.530263637668891,-6.538010111718565,2,1
-7.91236162678378,6.026358619132981,3,2
-5.370103198452416,-9.846862662016678,2,1
-8.433919602564593,4.910972097578892,3,2
-7.639429323139045,-7.590125036167499,2,1
5.079364884236613,1.874859836486356,1,4
3.814046062990054,3.8195656045399797,1,0
-6.247044391509073,-8.122981179339082,2,1
2.255587816421555,4.000324069234908,4,0
-7.532047280907808,6.096607239203463,3,2
-11.221439937721934,7.083998598587635,3,2
-6.955905342890853,-8.541690582453938,2,1
-8.520965123380648,7.478768967556983,3,2
0.6774134540829762,2.0187317095223625,4,0
-1.6860270390908356,9.087604095386725,0,3
4.794372501823353,1.6366170940625586,1,4
4.304634754360075,0.6321049706391633,1,4
3.201158735171232,1.7479070414493785,1,4
-2.5286172289404827,8.711106345364046,0,3
-8.498800247667134,-6.250370078867208,2,1
-10.79341387055416,6.405906926392371,3,2
-5.03158699938042,-5.889398746651861,2,1
-3.7088951514180586,6.6981422652294444,0,3
1.1411471725179159,4.442808093459279,4,0
-2.3314966221194964,7.678941769488221,0,3
3.1412125065713496,6.38265495019287,4,0
-8.679644433017282,6.927438949419434,3,2
5.508651336818873,0.7868332568308776,1,4
1.1228522586045013,2.718562981863215,4,0
