	CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B	PRICE
0.0	-1.333590341630663	0.27629177318295356	-1.2878916618463851	-0.2709873156994224	0.334164694659354	0.4718694026582363	-0.11447156129347648	-0.297837147093269	-0.9842114278861248	-0.6696873929405294	-1.4763032105954992	0.43928703596363405	24.0
1.0	-1.333590341630663	-0.4910805344527814	-0.5948967515280548	-0.2709873156994224	0.02558652747850788	0.39523500617758467	0.3705473644633074	-0.29715023300690446	-0.8700300367424731	-0.9883871048252342	-0.31166925014488134	0.43928703596363405	21.6
2.0	-1.333590341630663	-0.4910805344527814	-0.5948967515280548	-0.2709873156994224	0.02558652747850788	0.7754212328738046	-0.2596232106075505	-0.29715023300690446	-0.8700300367424731	-0.9883871048252342	-0.31166925014488134	0.39488150612574335	34.7
3.0	-1.333590341630663	-0.4910805344527814	-1.3068179934307094	-0.2709873156994224	-0.023607093376409618	0.6823651800044418	-0.8012866824381194	-0.2962925889344182	-0.7558486455988214	-1.1064240351529027	0.10759897561734037	0.4145203153906583	33.4
4.0	-1.333590341630663	-0.4910805344527814	-1.3068179934307094	-0.2709873156994224	-0.023607093376409618	0.7565114467292282	-0.5039028155507481	-0.2962925889344182	-0.7558486455988214	-1.1064240351529027	0.10759897561734037	0.43928703596363405	36.2
5.0	-1.333590341630663	-0.4910805344527814	-1.3068179934307094	-0.2709873156994224	-0.023607093376409618	-2.796821491438608	-0.34459002971822794	-0.2962925889344182	-0.7558486455988214	-1.1064240351529027	0.10759897561734037	0.4089559860989325	28.7
6.0	-0.44273765374028734	0.04181690140536789	-0.4784270187014446	-0.2709873156994224	0.27155463175309535	0.191705992147802	-0.06490758347891494	-0.2966855028520206	-0.5274858633115178	-0.581159695194778	-1.5228885690135245	0.4251034514945294	22.9
7.0	-0.44273765374028734	0.04181690140536789	-0.4784270187014446	-0.2709873156994224	0.27155463175309535	0.27132614433549207	0.9794762347564954	-0.2963800684731788	-0.5274858633115178	-0.581159695194778	-1.5228885690135245	0.43928703596363405	27.1
8.0	-0.44273765374028734	0.04181690140536789	-0.4784270187014446	-0.2709873156994224	0.27155463175309535	0.002110504750865123	1.1175473158113465	-0.2962770039494465	-0.5274858633115178	-0.581159695194778	-1.5228885690135245	0.32723671865770354	16.5
9.0	-0.44273765374028734	0.04181690140536789	-0.4784270187014446	-0.2709873156994224	0.27155463175309535	0.18772498453841752	0.6183672535361167	-0.29587758976173034	-0.5274858633115178	-0.581159695194778	-1.5228885690135245	0.3281095546250329	18.9
10.0	-0.44273765374028734	0.04181690140536789	-0.4784270187014446	-0.2709873156994224	0.27155463175309535	0.3733394643259699	0.9157511204234874	-0.2960697784708785	-0.5274858633115178	-0.581159695194778	-1.5228885690135245	0.39149926675234137	15.0
11.0	-0.44273765374028734	0.04181690140536789	-0.4784270187014446	-0.2709873156994224	0.27155463175309535	0.19021311429428284	0.5121587296477699	-0.2961637582797529	-0.5274858633115178	-0.581159695194778	-1.5228885690135245	0.43928703596363405	18.9
12.0	-0.44273765374028734	0.04181690140536789	-0.4784270187014446	-0.2709873156994224	0.27155463175309535	0.13049800015351531	-1.0420260032517055	-0.2967713377441259	-0.5274858633115178	-0.581159695194778	-1.5228885690135245	0.36946015857727044	21.7
13.0	0.44811503415008835	-0.4910805344527814	-0.43911848387246366	-0.2709873156994224	0.334164694659354	0.16035555722389908	-0.23484122170026975	-0.2973535426601028	-0.6416672544551696	-0.6047670812603116	1.1790622192319091	0.43928703596363405	20.4
15.0	0.44811503415008835	-0.4910805344527814	-0.43911848387246366	-0.2709873156994224	0.334164694659354	0.10312857283899685	-0.42247628056968234	-0.29751714584405164	-0.6416672544551696	-0.6047670812603116	1.1790622192319091	0.42532166048636155	19.9
16.0	0.44811503415008835	-0.4910805344527814	-0.43911848387246366	-0.2709873156994224	0.334164694659354	0.15338879390747617	-1.385433563824027	-0.29751714584405164	-0.6416672544551696	-0.6047670812603116	1.1790622192319091	0.32963701756786007	23.1
17.0	0.44811503415008835	-0.4910805344527814	-0.43911848387246366	-0.2709873156994224	0.334164694659354	-2.7970404468571246	0.469675320092431	-0.2977056536773522	-0.6416672544551696	-0.6047670812603116	1.1790622192319091	0.3285459726086979	17.5
18.0	0.44811503415008835	-0.4910805344527814	-0.43911848387246366	-0.2709873156994224	0.334164694659354	-0.08497403670442084	-1.1269928223623829	-0.29806700604247427	-0.6416672544551696	-0.6047670812603116	1.1790622192319091	-0.7380595794680095	20.2
19.0	0.44811503415008835	-0.4910805344527814	-0.43911848387246366	-0.2709873156994224	0.334164694659354	0.04988259606347914	0.03776065627982052	-0.29806700604247427	-0.6416672544551696	-0.6047670812603116	1.1790622192319091	0.37436986089349905	18.2
20.0	0.44811503415008835	-0.4910805344527814	-0.43911848387246366	-0.2709873156994224	0.334164694659354	-2.797249449756617	1.0502819173487266	-0.2980659096113707	-0.6416672544551696	-0.6047670812603116	1.1790622192319091	0.21747759576601286	13.6
21.0	0.44811503415008835	-0.4910805344527814	-0.43911848387246366	-0.2709873156994224	0.334164694659354	0.16831757244266807	0.735196629813298	-0.29789799901951514	-0.6416672544551696	-0.6047670812603116	1.1790622192319091	0.3916083712482574	19.6
22.0	0.44811503415008835	-0.4910805344527814	-0.43911848387246366	-0.2709873156994224	0.334164694659354	0.25639736580030015	0.823703733053587	-0.2979257230631331	-0.6416672544551696	-0.6047670812603116	1.1790622192319091	0.43928703596363405	15.2
23.0	0.44811503415008835	-0.4910805344527814	-0.43911848387246366	-0.2709873156994224	0.334164694659354	0.09267842786436253	1.1175473158113465	-0.2978330746348844	-0.6416672544551696	-0.6047670812603116	1.1790622192319091	0.41353837492741286	14.5
